_id,quote,tags[0],tags[1],tags[2],tags[3],tags[4],tags[5],tags[6],tags[7],author
653abc8c96d36f43860f115f,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,change,deep-thoughts,thinking,world,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f1160,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",abilities,choices,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f1161,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,inspirational,life,live,miracle,miracles,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f1162,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",aliteracy,books,classic,humor,,,,,653a93a4e5b0e0926c9df94c
653abc8c96d36f43860f1163,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",be-yourself,inspirational,,,,,,,653a93a4e5b0e0926c9df949
653abc8c96d36f43860f1164,“Try not to become a man of success. Rather become a man of value.”,adulthood,success,value,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f1165,“It is better to be hated for what you are than to be loved for what you are not.”,life,love,,,,,,,653a93a4e5b0e0926c9df94e
653abc8c96d36f43860f1166,"“I have not failed. I've just found 10,000 ways that won't work.”",edison,failure,inspirational,paraphrased,,,,,653a93a4e5b0e0926c9df950
653abc8c96d36f43860f1167,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,misattributed-eleanor-roosevelt,,,,,,,,653a93a4e5b0e0926c9df94f
653abc8c96d36f43860f1168,"“A day without sunshine is like, you know, night.”",humor,obvious,simile,,,,,,653a93a4e5b0e0926c9df94b
653abc8c96d36f43860f1169,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",friends,heartbreak,inspirational,life,love,sisters,,,653a93a4e5b0e0926c9df949
653abc8c96d36f43860f116a,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",courage,friends,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f116b,"“If you can't explain it to a six year old, you don't understand it yourself.”",simplicity,understand,,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f116c,"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",love,,,,,,,,653a93a4e5b0e0926c9df952
653abc8c96d36f43860f116d,"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",fantasy,,,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f116e,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",life,navigation,,,,,,,653a93a4e5b0e0926c9df953
653abc8c96d36f43860f116f,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",activism,apathy,hate,indifference,inspirational,love,opposite,philosophy,653a93a4e5b0e0926c9df956
653abc8c96d36f43860f1170,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage,,,653a93a4e5b0e0926c9df954
653abc8c96d36f43860f1171,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",books,contentment,friends,friendship,life,,,,653a93a4e5b0e0926c9df957
653abc8c96d36f43860f1172,“Life is what happens to us while we are making other plans.”,fate,life,misattributed-john-lennon,planning,plans,,,,653a93a4e5b0e0926c9df955
653abc8c96d36f43860f1173,"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",love,poetry,,,,,,,653a93a4e5b0e0926c9df95b
653abc8c96d36f43860f1174,“For every minute you are angry you lose sixty seconds of happiness.”,happiness,,,,,,,,653a93a4e5b0e0926c9df95c
653abc8c96d36f43860f1175,"“If you judge people, you have no time to love them.”",attributed-no-source,,,,,,,,653a93a4e5b0e0926c9df959
653abc8c96d36f43860f1176,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,humor,religion,,,,,,,653a93a4e5b0e0926c9df958
653abc8c96d36f43860f1177,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,humor,,,,,,,,653a93a4e5b0e0926c9df95a
653abc8c96d36f43860f1178,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",comedy,life,yourself,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f1179,"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",children,fairy-tales,,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f117a,"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",,,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f117b,“Logic will get you from A to Z; imagination will get you everywhere.”,imagination,,,,,,,,653a93a4e5b0e0926c9df94d
653abc8c96d36f43860f117c,"“One good thing about music, when it hits you, you feel no pain.”",music,,,,,,,,653a93a4e5b0e0926c9df952
653abc8c96d36f43860f117d,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",learning,reading,seuss,,,,,,653a93a4e5b0e0926c9df951
653abc8c96d36f43860f117e,"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",dumbledore,,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f117f,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",friendship,,,,,,,,653a93a4e5b0e0926c9df952
653abc8c96d36f43860f1180,“Not all of us can do great things. But we can do small things with great love.”,misattributed-to-mother-teresa,paraphrased,,,,,,,653a93a4e5b0e0926c9df959
653abc8c96d36f43860f1181,"“To the well-organized mind, death is but the next great adventure.”",death,inspirational,,,,,,,653a93a4e5b0e0926c9df94a
653abc8c96d36f43860f1182,“All you need is love. But a little chocolate now and then doesn't hurt.”,chocolate,food,humor,,,,,,653a93a4e5b0e0926c9df95d
653abc8c96d36f43860f1183,“We read to know we're not alone.”,misattributed-to-c-s-lewis,reading,,,,,,,653a93a4e5b0e0926c9df960
653abc8c96d36f43860f1184,“Any fool can know. The point is to understand.”,knowledge,learning,understanding,wisdom,,,,,653a93a4e5b0e0926c9df94d
